created_at,id,text,retweet_count,favorite_count
Wed Oct 21 23:59:01 +0000 2020,1319065685063073794,STF inicia julgamento sobre ICMS de gás importado da Bolívia https://t.co/VzLsE9pWFW #Bolívia #CelsodeMello #Gás #ICMS #Justiça #MatoGrossodoSul #Petrobras #STF,0,4
Wed Oct 21 23:52:40 +0000 2020,1319064089004564482,Drinking a Flor de Hibisco by Hop Capital Beer @ Posto Br Petrobrás — https://t.co/cgbxkucdKe,0,0
Wed Oct 21 23:52:07 +0000 2020,1319063949761970177,"Vagabundo do Augusto Nunes acabou de dizer na Record que a Bolivia deu calote no Brasil naquela história das refinarias estatizadas. Alguem mostra isso pra ele.

Bolívia completa pagamento de refinarias compradas da Petrobras https://t.co/CF39wgNSY6",0,1
Wed Oct 21 23:51:27 +0000 2020,1319063783956975618,Os ataques à Petrobras são uma falácia do Nestor Cerveró para deslegitimizar a defesa da democracia! #DesculpasDoPT,0,0
Wed Oct 21 23:40:31 +0000 2020,1319061033000947714,Bolsonaro vai sugerir que Petrobras destine recursos para criar 'Vale do Silício da Biotecnologia' em SP https://t.co/Ae9amTGz9d,8,88
Wed Oct 21 23:39:15 +0000 2020,1319060713307054089,".@MCrivella na Petrobras apoiando Lula, e agora tá aí apoiando Bolsonaro. Todo canalha e traidor muda de lado e faz como Judas. https://t.co/y4RZFyOv8K",1,0
Wed Oct 21 23:38:51 +0000 2020,1319060610865336324,"Sexta feira que vem tenho que apresentar meu estágio/pesquisa para nada menos que um supervisor da petrobras. To cagando na base, parece que vou apresentar um slide para Jesus Cristo",0,18
Wed Oct 21 23:37:50 +0000 2020,1319060354136264704,Goiânia tem #DelegadaAdriana13 https://t.co/QcYdqWz63j,1,1
Wed Oct 21 23:36:37 +0000 2020,1319060048539275272,"Vamos lá assistir ao episódio final da série do canal @Normose_ Lava jato entre quatro paredes, que disseca a operação que acabou com a indústria de construção nacional e colocou a Petrobrás de joelhos. https://t.co/qTZ1v2GE9u",0,1
Wed Oct 21 23:23:02 +0000 2020,1319056632630943744,eu votei no trem da petrobrás sem querer 😳😳,0,0
Wed Oct 21 23:20:28 +0000 2020,1319055986917806081,"Como é venezuelano, da ditadura marxista do Maduro querido dos esquerdalhas brasileiros, a notícia deste desastre ambiental, está nos cantos nos rodapés dos jornais esquerdalhas, Greta não berrou, Green Peace até agora mudos..Se fosse navio da Petrobras sob governo Bolsonaro...",0,0
Wed Oct 21 23:19:06 +0000 2020,1319055640304680961,Somente um idiota escuta os conselhos financeiros de Miriam Leitão... Ainda lembro dela recomendando a compra de títulos da dívida Grega... Ou a vender as Ações da Petrobrás antes do Pré-Sal... https://t.co/U3uvIPbVof,5,4
Wed Oct 21 23:11:40 +0000 2020,1319053769481637889,acertei 🗣️🗣️🗣️🗣️ https://t.co/CDzxZETkV3,0,0
Wed Oct 21 23:06:51 +0000 2020,1319052557558439947,"Caceta, acertei https://t.co/Y7EKsBKGJm",0,0
Wed Oct 21 23:03:32 +0000 2020,1319051725760757761,"https://t.co/qYINayiHcI

O presidente Lula da Silva não só tirou ExxonMobil e Chevron da posição de controladoras, em favor da estatal brasileira Petrobrás, Lula da Silva abriu a exploração do Pré-Sal aos chineses, desde 2009 principais parceiros dentro grupo BRICS https://t.co/SIJkowenR6",0,5
Wed Oct 21 23:03:07 +0000 2020,1319051620227887107,"Fodase. Quero gasolina a R$1,49 https://t.co/pl5G2WEzRy",1,16
Wed Oct 21 22:54:58 +0000 2020,1319049569926250502,"Operação da PF, MPF e RF cumpre mandados na 77ª fase da Lava Jato em investigação contra corrupção, organização criminosa e lavagem de dinheiro na Petrobrás https://t.co/KRyRHKsduR",0,3
Wed Oct 21 22:49:19 +0000 2020,1319048146673143811,Com o preço da gasolina batendo os 5 reais 🤔 deve ser 2 barris por dia no máximo! https://t.co/FdnORDiMN9,0,0
Wed Oct 21 22:48:17 +0000 2020,1319047888211746816,e eu respondendo a votação da petrobrás sem nem entender nada kkkjjkkk,0,0
Wed Oct 21 22:46:59 +0000 2020,1319047559432818689,Bolsonaro vai sugerir que Petrobras destine recursos para criar 'Vale do Silício da Biotecnologia' em SP https://t.co/u58eHMR44W,0,1
Wed Oct 21 22:45:42 +0000 2020,1319047234948878338,Sem propinas...vai https://t.co/l605qAXo3o,0,1
Wed Oct 21 22:42:16 +0000 2020,1319046371329122304,Para derrotar as privatizações e anular todas as punições e perseguições é preciso mudar os rumos do que a categoria está fazendo seguindo a orientação de suas direções sindicais e políticas. https://t.co/tk25mEpJZb,3,7
Wed Oct 21 22:40:15 +0000 2020,1319045863566680071,"📊 Ações +Termadas #termos 🦈

🧐 Apostando numa alta ou defendendo posição

Ticker / Var(%) / N° de Ações

#DIRR3 / +2,6% / 1.023K
#PETR4 / -0,1% / 564K
#COGN3 / +2,0% / 521K
#OIBR3 / +0,0% / 425K
#BRML3 / +2,6% / 335K

Além disso tivemos #VVAR3 #ITSA4 #BBDC3 #RAIL3 e #TCSA3",1,12
Wed Oct 21 22:39:05 +0000 2020,1319045569663434753,"Me desculpe @petrobras chega a ser uma afronta c/ o povo brasileiro uma pesquisa dessa,se vangloriar q está extraindo milhares de barris por segundo,sendo q na bomba pagamos um absurdo. Políticos passado roubaram sem dó,será q agora podemos esperar uma política de preços melhores https://t.co/Pn7uZWf1nL",0,1
Wed Oct 21 22:37:30 +0000 2020,1319045174522249216,"📊 Mais negociadas investidor PF 🐟🐡🐠 (Lote #Fracionário)

Ticker / Var(%) / N° de Ações

#MGLU3 / +0,6% / 430K
#WEGE3 / -5,9% / 342K
#ITSA4 / +0,4% / 205K
#VVAR3 / +0,9% / 191K
#IRBR3 / -3,7% / 175K

Além disso tivemos #OIBR3 #COGN3 #BBDC4 #CVCB3 e #PETR4",2,22
Wed Oct 21 22:37:13 +0000 2020,1319045100463337473,Ao Vivo https://t.co/u0Dt58wkwP : CIRO A PETROBRÁS SÓ AUMENTA TARIFAS MAIS SUAS RESPONSABILIDADES NÃO ASSUME!,1,0
Wed Oct 21 22:35:58 +0000 2020,1319044787740332033,"A refinaria que o juiz bandido Moro, disse que era prejuízo para a Petrobrás na verdade foi para fazer um bom negócio para uma petroleira norte americana Chevron.

https://t.co/Y6xiW3oNLc",0,0
Wed Oct 21 22:34:52 +0000 2020,1319044511620845568,"A desmiolada e caricata Dilmanta Roussef, que deveria estar presa pelos escândalos que patrocinou na Petrobras, acusa o Governo de pretender destruir a estatal. É muito cinismo, pois a ruína da Petrobras resultou dos desmandos dos governos Lula/Dilma. É verdadeiramente aluada. https://t.co/Y9Da150g4R",1,4
Wed Oct 21 22:30:11 +0000 2020,1319043332354473984,"Dilma , a anta! Está revoltada com o estado da Petrobrás. Ela acusa Bolsonaro e Guedes de desmonte na estatal.",0,5
Wed Oct 21 22:26:07 +0000 2020,1319042309481254914,Dilma preocupada com a Petrobras! Piada pronta!! Kkkkkk https://t.co/Bp0Iht9NXt,0,0
Wed Oct 21 22:25:19 +0000 2020,1319042105923276800,"Petrleo Brasileiro SA Petrobras (PBR) price at close, 2020-10-21, is 7.19.",0,0
Wed Oct 21 22:22:37 +0000 2020,1319041428899627013,"Dilma diz estar revoltada com o estado da Petrobras.
Deve ser piada né.
🤣🤣🤣🤣🤣🤣",0,1
Wed Oct 21 22:16:49 +0000 2020,1319039967851646976,#Curriculo de #Analista em #RiodeJaneiro #RJ #petrobras #comunicativa #sap #estacio #sapr3 #curr #vagas #emprego #oportunidades #trabalho #recolocacao #queroemprego #procuroemprego #rh https://t.co/L6aVOPc40k,0,0
Wed Oct 21 22:15:22 +0000 2020,1319039602938859523,Gráfico diário #PETR4 $PETR https://t.co/OHDWh7yIBr,0,0
Wed Oct 21 22:13:32 +0000 2020,1319039141716295687,Apresentamos o Projeto de Lei 4965/20 para garantir que a venda de empresas auxiliares das estatais só se efetue mediante autorização do Congresso Nacional. Estamos presenciando o governo federal criar subsidiárias da Petrobras para serem vendidas. https://t.co/nqkc46IRDG,18,88
Wed Oct 21 22:08:41 +0000 2020,1319037918711873536,Coitado do social media https://t.co/y2xZnG9jgu,0,3
Wed Oct 21 22:06:40 +0000 2020,1319037413424091143,"Confira a live desta quarta-feira com a advogada Maria Goretti @mariagretnagime, criadora do PTinders, sobre os prejuízos da saída da Petrobras na Bacia de Campos. Em: https://t.co/UEN8kMKxTV #sindipetronf #PetrobrasFica",0,0
Wed Oct 21 22:04:38 +0000 2020,1319036901278572544,"#PETR4 deu uma acumulada esses dias e me deixa esse candle de Diário no topo da acumulação em cima de um 78,6% - torcer pra não ativar o candle e configurar fundo duplo no 112.8%. Semanal ainda tem alvo mais pra baixo(Fibo verde). https://t.co/MvgT10ErH0",0,2
Wed Oct 21 22:02:42 +0000 2020,1319036416966393857,Não! Mas tenho certeza que se fosse privada seria mais eficiente e mais barata. https://t.co/ZdKVBiy8jp,0,1
Wed Oct 21 22:01:06 +0000 2020,1319036012371300352,"Em entrevista, o ex-diretor da #Petrobras, Guilherme Estrella ressalta a importância do minério na #soberania brasileira e faz apelo ao povo brasileiro

#PreSal #Bolsonaro #Petroleo  https://t.co/hazyTq5D6k",0,0
Wed Oct 21 21:56:25 +0000 2020,1319034834824593414,"Preço do diesel nos postos do Brasil cai 1% na 1ª metade de outubro, diz Ticket Log https://t.co/jGMXtLgdpA #Biodiesel #Brasil #Combustíveis #Diesel #Etanol #Petrobras",0,1
Wed Oct 21 21:49:37 +0000 2020,1319033123338919939,Petrobrás postergará parte de paradas programadas de suas plataformas para 2021 https://t.co/cNMSaj7hmo,0,0
Wed Oct 21 21:46:55 +0000 2020,1319032443156967425,"Que adianta se o preço dos combustíveis não são convidativos? Que adianta atrelar a dólar para mercado interno? Difícil engolir, Petrobras! https://t.co/Rx9822qJ33",0,0
Wed Oct 21 21:46:54 +0000 2020,1319032437599592450,Sindipetro-LP entra com ação por Dano Moral contra Petrobrás e pede indenização por fraudes na Petros | SindiPetro-LP https://t.co/IyvAxeS876,0,0
Wed Oct 21 21:45:54 +0000 2020,1319032187103158272,"Live Prejuízos da saída da Petrobras na Bacia de Campos, com @mariagretnagime: “Se você quer uma rede de apoio, com amigos terrabolistas, vá ao Ptinder no Instagram”. Acompanhe aqui: https://t.co/UEN8kMKxTV #sindipetronf #PetrobrasFica",0,0
Wed Oct 21 21:44:11 +0000 2020,1319031756251607041,"Live Prejuízos da saída da Petrobras na Bacia de Campos, com @mariagretnagime: “Os países entram em guerra por  petróleo. No Brasil, não precisa entrar em guerra porque é só comprar meia dúzia de políticos e de jornais"". Acompanhe aqui: https://t.co/UEN8kMKxTV #PetrobrasFica",0,1
Wed Oct 21 21:39:48 +0000 2020,1319030652558299139,"Live Prejuízos da saída da Petrobras na Bacia de Campos, com @mariagretnagime: “Como a gente retrocedeu disso, da campanha do Petróleo é nosso?”. Acompanhe aqui: https://t.co/UEN8kMKxTV #sindipetronf #PetrobrasFica",0,0
Wed Oct 21 21:39:05 +0000 2020,1319030472417181697,"Obrigado @LulaOficial ,@dilmabr e @FUP_Brasil https://t.co/vyuDP2VP89",0,0
Wed Oct 21 21:37:50 +0000 2020,1319030157018005506,"Temos que estar atentos e fortes, todo dia Bolsonaro cria uma polêmica, não importa que mais um ministro seja enquadrado, o importante para ele é que não se comente o preço do óleo de soja , do desemprego, da corrupção desenfreada , do sucateamento da Petrobras, ...",1,2
Wed Oct 21 21:36:58 +0000 2020,1319029938134147076,"""Humberto Costa é suspeito de ter recebido propina oriunda de contratos superfaturados da Petrobras com a Odebrecht.""

Humberto Costa pede que Kassio proponha fim da transmissão dos julgamentos pela TV Justiça https://t.co/AmANGG7Wg8",0,2
